reading dataset "/data/xjs/index/dvstor_sift100m/converted/base_100000000.u8bin" (dim=128, vectors=100000000/100000000, dtype=uint8, vector_bytes=128)
Reading raw dataset 7% (7340032/100000000) elapsed 0s
Reading raw dataset 11% (11534336/100000000) elapsed 0s
Reading raw dataset 15% (15204352/100000000) elapsed 1s
Reading raw dataset 24% (24117248/100000000) elapsed 1s
Reading raw dataset 28% (28835840/100000000) elapsed 2s
Reading raw dataset 31% (31981568/100000000) elapsed 2s
Reading raw dataset 36% (36175872/100000000) elapsed 2s
Reading raw dataset 40% (40370176/100000000) elapsed 2s
Reading raw dataset 45% (45088768/100000000) elapsed 3s
Reading raw dataset 53% (53477376/100000000) elapsed 3s
Reading raw dataset 58% (58195968/100000000) elapsed 3s
Reading raw dataset 62% (62390272/100000000) elapsed 4s
Reading raw dataset 66% (66584576/100000000) elapsed 4s
Reading raw dataset 70% (70778880/100000000) elapsed 4s
Reading raw dataset 79% (79691776/100000000) elapsed 5s
Reading raw dataset 83% (83361792/100000000) elapsed 5s
Reading raw dataset 87% (87556096/100000000) elapsed 5s
Reading raw dataset 92% (92274688/100000000) elapsed 5s
Reading raw dataset 96% (96468992/100000000) elapsed 6s
Reading raw dataset 100% (100000000/100000000) elapsed 6s done
offline dataset memory: raw_vectors=12800000000 bytes, float_expansion=0 bytes
output prefix: "/data/xjs/index/dvstor_sift100m/index/sift100m_R48_bw200_balanced"
memory nodes: 5
threads: 32
R=48 construction_beam_width=200 alpha=1.2 vector_data_type=uint8
partition_strategy=balanced partition_max_degree=48 partition_imbalance=1.03
skip_sanity_check=true
offline distance execution: cpu-avx2
offline graph memory: neighbors=19200000000 bytes, degrees=100000000 bytes, lock_stripes=1048576
computing medoid...
medoid: node 65610822
initializing random R-regular graph (degree=48)...
random graph unique neighbor signature ratio=1 sample=4096
note: using alpha=1.0 for construction (config alpha=1.2 stored in metadata)
reverse edge maintenance: cheap append plus bulk consolidation
Building Vamana graph 0% (91474/100000000) elapsed 15s
Building Vamana graph 0% (183811/100000000) elapsed 30s
Building Vamana graph 0% (276689/100000000) elapsed 45s
Building Vamana graph 0% (372571/100000000) elapsed 1m0s
Building Vamana graph 0% (469065/100000000) elapsed 1m15s
Building Vamana graph 0% (565894/100000000) elapsed 1m30s
Building Vamana graph 0% (664752/100000000) elapsed 1m45s
Building Vamana graph 0% (763079/100000000) elapsed 2m0s
Building Vamana graph 0% (860877/100000000) elapsed 2m15s
Building Vamana graph 0% (957809/100000000) elapsed 2m30s
Building Vamana graph 1% (1057075/100000000) elapsed 2m45s
Building Vamana graph 1% (1156054/100000000) elapsed 3m0s
Building Vamana graph 1% (1254697/100000000) elapsed 3m15s
Building Vamana graph 1% (1353385/100000000) elapsed 3m30s
Building Vamana graph 1% (1452682/100000000) elapsed 3m45s
Building Vamana graph 1% (1551745/100000000) elapsed 4m0s
Building Vamana graph 1% (1652890/100000000) elapsed 4m15s
Building Vamana graph 1% (1754457/100000000) elapsed 4m30s
Building Vamana graph 1% (1857757/100000000) elapsed 4m45s
Building Vamana graph 1% (1962371/100000000) elapsed 5m0s
Building Vamana graph 2% (2068592/100000000) elapsed 5m15s
Building Vamana graph 2% (2176374/100000000) elapsed 5m30s
Building Vamana graph 2% (2289315/100000000) elapsed 5m45s
Building Vamana graph 2% (2404677/100000000) elapsed 6m0s
Building Vamana graph 2% (2522456/100000000) elapsed 6m15s
Building Vamana graph 2% (2642741/100000000) elapsed 6m30s
Building Vamana graph 2% (2765254/100000000) elapsed 6m45s
Building Vamana graph 2% (2890446/100000000) elapsed 7m0s
Building Vamana graph 3% (3018272/100000000) elapsed 7m15s
Building Vamana graph 3% (3149223/100000000) elapsed 7m30s
Building Vamana graph 3% (3282886/100000000) elapsed 7m45s
Building Vamana graph 3% (3418667/100000000) elapsed 8m0s
Building Vamana graph 3% (3556035/100000000) elapsed 8m15s
Building Vamana graph 3% (3696028/100000000) elapsed 8m30s
Building Vamana graph 3% (3838263/100000000) elapsed 8m45s
Building Vamana graph 3% (3983117/100000000) elapsed 9m0s
Building Vamana graph 4% (4130115/100000000) elapsed 9m15s
Building Vamana graph 4% (4278916/100000000) elapsed 9m30s
Building Vamana graph 4% (4429474/100000000) elapsed 9m45s
Building Vamana graph 4% (4581677/100000000) elapsed 10m0s
Building Vamana graph 4% (4735137/100000000) elapsed 10m15s
Building Vamana graph 4% (4889491/100000000) elapsed 10m30s
Building Vamana graph 5% (5001004/100000000) elapsed 10m40s
Building Vamana graph 5% (5157549/100000000) elapsed 10m55s
Building Vamana graph 5% (5315757/100000000) elapsed 11m10s
Building Vamana graph 5% (5474824/100000000) elapsed 11m25s
Building Vamana graph 5% (5635286/100000000) elapsed 11m40s
Building Vamana graph 5% (5797030/100000000) elapsed 11m55s
Building Vamana graph 5% (5960181/100000000) elapsed 12m10s
Building Vamana graph 6% (6124997/100000000) elapsed 12m25s
Building Vamana graph 6% (6291595/100000000) elapsed 12m40s
Building Vamana graph 6% (6458496/100000000) elapsed 12m55s
Building Vamana graph 6% (6626124/100000000) elapsed 13m10s
Building Vamana graph 6% (6794574/100000000) elapsed 13m25s
Building Vamana graph 6% (6963744/100000000) elapsed 13m40s
Building Vamana graph 7% (7134398/100000000) elapsed 13m56s
Building Vamana graph 7% (7306630/100000000) elapsed 14m11s
Building Vamana graph 7% (7479110/100000000) elapsed 14m26s
Building Vamana graph 7% (7653027/100000000) elapsed 14m41s
Building Vamana graph 7% (7827448/100000000) elapsed 14m56s
Building Vamana graph 8% (8002949/100000000) elapsed 15m11s
Building Vamana graph 8% (8178799/100000000) elapsed 15m26s
Building Vamana graph 8% (8354895/100000000) elapsed 15m41s
Building Vamana graph 8% (8531602/100000000) elapsed 15m56s
Building Vamana graph 8% (8708290/100000000) elapsed 16m11s
Building Vamana graph 8% (8885624/100000000) elapsed 16m26s
Building Vamana graph 9% (9063454/100000000) elapsed 16m41s
Building Vamana graph 9% (9241816/100000000) elapsed 16m56s
Building Vamana graph 9% (9420220/100000000) elapsed 17m11s
Building Vamana graph 9% (9599175/100000000) elapsed 17m26s
Building Vamana graph 9% (9778235/100000000) elapsed 17m41s
Building Vamana graph 9% (9957501/100000000) elapsed 17m56s
Building Vamana graph 10% (10002468/100000000) elapsed 17m59s
Building Vamana graph 10% (10182337/100000000) elapsed 18m14s
Building Vamana graph 10% (10362367/100000000) elapsed 18m29s
Building Vamana graph 10% (10543159/100000000) elapsed 18m44s
Building Vamana graph 10% (10723873/100000000) elapsed 18m59s
Building Vamana graph 10% (10904918/100000000) elapsed 19m14s
Building Vamana graph 11% (11085926/100000000) elapsed 19m29s
Building Vamana graph 11% (11267385/100000000) elapsed 19m44s
Building Vamana graph 11% (11449390/100000000) elapsed 19m59s
Building Vamana graph 11% (11631430/100000000) elapsed 20m14s
Building Vamana graph 11% (11813694/100000000) elapsed 20m29s
Building Vamana graph 11% (11996128/100000000) elapsed 20m44s
Building Vamana graph 12% (12178650/100000000) elapsed 20m59s
Building Vamana graph 12% (12361385/100000000) elapsed 21m14s
Building Vamana graph 12% (12544534/100000000) elapsed 21m29s
Building Vamana graph 12% (12727674/100000000) elapsed 21m44s
Building Vamana graph 12% (12911019/100000000) elapsed 21m59s
