reading dataset "/data/xjs/index/dvstor_sift100m/converted/base_100000000.u8bin" (dim=128, vectors=100000000/100000000, dtype=uint8, vector_bytes=128)
Reading raw dataset 13% (13107200/100000000) elapsed 0s
Reading raw dataset 26% (26214400/100000000) elapsed 0s
Reading raw dataset 39% (39321600/100000000) elapsed 0s
Reading raw dataset 52% (52953088/100000000) elapsed 1s
Reading raw dataset 66% (66584576/100000000) elapsed 1s
Reading raw dataset 80% (80216064/100000000) elapsed 1s
Reading raw dataset 93% (93323264/100000000) elapsed 1s
Reading raw dataset 100% (100000000/100000000) elapsed 2s done
offline dataset memory: raw_vectors=12800000000 bytes, float_expansion=0 bytes
output prefix: "/data/xjs/index/dvstor_sift100m/index/sift100m_R48_bw200_metis"
memory nodes: 5
threads: 32
R=48 construction_beam_width=200 alpha=1.2 vector_data_type=uint8
partition_strategy=metis partition_max_degree=48 partition_imbalance=1.03
skip_sanity_check=true
offline distance execution: cpu-avx2
offline graph memory: neighbors=19200000000 bytes, degrees=100000000 bytes, lock_stripes=1048576
computing medoid...
medoid: node 65610822
initializing random R-regular graph (degree=48)...
random graph unique neighbor signature ratio=1 sample=4096
note: using alpha=1.0 for construction (config alpha=1.2 stored in metadata)
reverse edge maintenance: cheap append plus bulk consolidation
Building Vamana graph 0% (92322/100000000) elapsed 15s
Building Vamana graph 0% (182426/100000000) elapsed 30s
Building Vamana graph 0% (272492/100000000) elapsed 45s
Building Vamana graph 0% (365095/100000000) elapsed 1m0s
Building Vamana graph 0% (459888/100000000) elapsed 1m15s
Building Vamana graph 0% (554597/100000000) elapsed 1m30s
Building Vamana graph 0% (651764/100000000) elapsed 1m45s
Building Vamana graph 0% (746607/100000000) elapsed 2m0s
Building Vamana graph 0% (844906/100000000) elapsed 2m15s
Building Vamana graph 0% (941986/100000000) elapsed 2m30s
Building Vamana graph 1% (1036654/100000000) elapsed 2m45s
Building Vamana graph 1% (1135500/100000000) elapsed 3m0s
Building Vamana graph 1% (1232283/100000000) elapsed 3m15s
Building Vamana graph 1% (1330497/100000000) elapsed 3m30s
Building Vamana graph 1% (1428847/100000000) elapsed 3m45s
Building Vamana graph 1% (1524890/100000000) elapsed 4m0s
Building Vamana graph 1% (1622650/100000000) elapsed 4m15s
Building Vamana graph 1% (1722967/100000000) elapsed 4m30s
Building Vamana graph 1% (1823624/100000000) elapsed 4m45s
Building Vamana graph 1% (1926428/100000000) elapsed 5m0s
Building Vamana graph 2% (2030686/100000000) elapsed 5m15s
Building Vamana graph 2% (2135967/100000000) elapsed 5m30s
Building Vamana graph 2% (2244931/100000000) elapsed 5m45s
Building Vamana graph 2% (2358300/100000000) elapsed 6m0s
Building Vamana graph 2% (2473729/100000000) elapsed 6m15s
Building Vamana graph 2% (2591408/100000000) elapsed 6m30s
Building Vamana graph 2% (2711364/100000000) elapsed 6m45s
Building Vamana graph 2% (2833994/100000000) elapsed 7m0s
Building Vamana graph 2% (2959107/100000000) elapsed 7m15s
Building Vamana graph 3% (3087789/100000000) elapsed 7m30s
Building Vamana graph 3% (3218850/100000000) elapsed 7m45s
Building Vamana graph 3% (3351517/100000000) elapsed 8m0s
Building Vamana graph 3% (3487036/100000000) elapsed 8m15s
Building Vamana graph 3% (3624836/100000000) elapsed 8m30s
Building Vamana graph 3% (3765250/100000000) elapsed 8m45s
Building Vamana graph 3% (3907125/100000000) elapsed 9m0s
Building Vamana graph 4% (4051177/100000000) elapsed 9m15s
Building Vamana graph 4% (4197056/100000000) elapsed 9m30s
Building Vamana graph 4% (4344512/100000000) elapsed 9m45s
Building Vamana graph 4% (4493147/100000000) elapsed 10m0s
Building Vamana graph 4% (4643582/100000000) elapsed 10m15s
Building Vamana graph 4% (4795470/100000000) elapsed 10m30s
Building Vamana graph 4% (4948598/100000000) elapsed 10m45s
Building Vamana graph 5% (5002481/100000000) elapsed 10m50s
Building Vamana graph 5% (5157405/100000000) elapsed 11m5s
Building Vamana graph 5% (5313059/100000000) elapsed 11m20s
Building Vamana graph 5% (5469658/100000000) elapsed 11m35s
Building Vamana graph 5% (5627220/100000000) elapsed 11m50s
Building Vamana graph 5% (5785797/100000000) elapsed 12m5s
Building Vamana graph 5% (5945590/100000000) elapsed 12m20s
Building Vamana graph 6% (6107326/100000000) elapsed 12m35s
Building Vamana graph 6% (6270539/100000000) elapsed 12m50s
Building Vamana graph 6% (6435137/100000000) elapsed 13m5s
Building Vamana graph 6% (6600954/100000000) elapsed 13m20s
Building Vamana graph 6% (6766419/100000000) elapsed 13m35s
Building Vamana graph 6% (6932928/100000000) elapsed 13m50s
Building Vamana graph 7% (7100550/100000000) elapsed 14m5s
Building Vamana graph 7% (7269578/100000000) elapsed 14m20s
Building Vamana graph 7% (7439429/100000000) elapsed 14m35s
Building Vamana graph 7% (7610282/100000000) elapsed 14m50s
Building Vamana graph 7% (7781606/100000000) elapsed 15m5s
Building Vamana graph 7% (7954409/100000000) elapsed 15m20s
Building Vamana graph 8% (8127795/100000000) elapsed 15m35s
Building Vamana graph 8% (8301393/100000000) elapsed 15m50s
Building Vamana graph 8% (8475361/100000000) elapsed 16m5s
Building Vamana graph 8% (8649540/100000000) elapsed 16m20s
Building Vamana graph 8% (8823770/100000000) elapsed 16m35s
Building Vamana graph 8% (8998478/100000000) elapsed 16m50s
Building Vamana graph 9% (9173927/100000000) elapsed 17m5s
Building Vamana graph 9% (9349630/100000000) elapsed 17m20s
Building Vamana graph 9% (9525709/100000000) elapsed 17m35s
Building Vamana graph 9% (9702271/100000000) elapsed 17m50s
Building Vamana graph 9% (9879304/100000000) elapsed 18m5s
Building Vamana graph 10% (10000275/100000000) elapsed 18m15s
Building Vamana graph 10% (10177592/100000000) elapsed 18m30s
Building Vamana graph 10% (10355186/100000000) elapsed 18m45s
Building Vamana graph 10% (10533055/100000000) elapsed 19m0s
Building Vamana graph 10% (10711131/100000000) elapsed 19m15s
Building Vamana graph 10% (10889382/100000000) elapsed 19m30s
Building Vamana graph 11% (11067643/100000000) elapsed 19m45s
Building Vamana graph 11% (11246078/100000000) elapsed 20m0s
Building Vamana graph 11% (11425124/100000000) elapsed 20m15s
Building Vamana graph 11% (11604246/100000000) elapsed 20m30s
Building Vamana graph 11% (11783617/100000000) elapsed 20m45s
Building Vamana graph 11% (11963005/100000000) elapsed 21m0s
