counter	value
/sys/class/infiniband/mlx5_0/ports/1/counters/excessive_buffer_overrun_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/link_downed	0
/sys/class/infiniband/mlx5_0/ports/1/counters/link_error_recovery	0
/sys/class/infiniband/mlx5_0/ports/1/counters/local_link_integrity_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/multicast_rcv_packets	0
/sys/class/infiniband/mlx5_0/ports/1/counters/multicast_xmit_packets	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_constraint_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_data	22223831175874
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_packets	284447254987
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_remote_physical_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_rcv_switch_relay_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_xmit_constraint_errors	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_xmit_data	2976696824107
/sys/class/infiniband/mlx5_0/ports/1/counters/port_xmit_discards	0
/sys/class/infiniband/mlx5_0/ports/1/counters/port_xmit_packets	284174961716
/sys/class/infiniband/mlx5_0/ports/1/counters/port_xmit_wait	0
/sys/class/infiniband/mlx5_0/ports/1/counters/symbol_error	0
/sys/class/infiniband/mlx5_0/ports/1/counters/unicast_rcv_packets	284447254987
/sys/class/infiniband/mlx5_0/ports/1/counters/unicast_xmit_packets	284174961716
/sys/class/infiniband/mlx5_0/ports/1/counters/VL15_dropped	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/duplicate_request	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/implied_nak_seq_err	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/lifespan	12
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/local_ack_timeout_err	48
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/out_of_buffer	5855568
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/out_of_sequence	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/packet_seq_err	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_cqe_error	8
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_cqe_flush_error	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_remote_access_errors	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_remote_invalid_request	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_rnr_retries_exceeded	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/req_transport_retries_exceeded	8
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/resp_cqe_error	2640
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/resp_cqe_flush_error	2635
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/resp_local_length_error	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/resp_remote_access_errors	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rnr_nak_retry_err	2534
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/roce_adp_retrans	52
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/roce_adp_retrans_to	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/roce_slow_restart	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/roce_slow_restart_cnps	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/roce_slow_restart_trans	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rx_atomic_requests	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rx_dct_connect	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rx_icrc_encapsulated	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rx_read_requests	0
/sys/class/infiniband/mlx5_0/ports/1/hw_counters/rx_write_requests	0
