metric,value
record_bytes,832
expanded_parent_samples,394405526
average_expanded_parent_degree,47.09246740878575
average_required_prefix_bytes,419.5087853206195
average_fixed_read_wasted_bytes,412.4912146793805
average_fixed_read_waste_ratio,0.49578270995117846
required_prefix_p50_bytes,400
required_prefix_p95_bytes,784
degree_histogram_quantum,8
qps_improvement_ratio,0.1448476677501258
p99_reduction_ratio,0.1437508866711955
graph_bytes_reduction_ratio,0.4958135790143875
physical_wqe_change_ratio,-0.00022525780487181457
recall_equal,True
