repeat,order,stage1_B,stage2_B,payload_B,stages,active_QPs,batch_reads,working_set_B,measured_batches_per_QP,read_WQEs,dump_WQEs,transport_WQEs,CQEs,elapsed_ms,read_WQE_per_s,application_payload_GB_per_s,batch_latency_mean_us,batch_latency_p50_us,batch_latency_p95_us,batch_latency_p99_us
1,forward,16,0,16,1,1,16,67108288,512,8192,512,8704,512,5.722,1431639.182,0.023,10.816,11.264,12.288,13.312
1,forward,80,0,80,1,1,16,67108288,512,8192,512,8704,512,5.407,1515151.470,0.121,9.816,9.216,11.264,12.288
1,forward,144,0,144,1,1,16,67108288,512,8192,512,8704,512,5.415,1512859.242,0.218,10.216,10.240,12.288,12.288
1,forward,272,0,272,1,1,16,67108288,512,8192,512,8704,512,5.576,1469237.891,0.400,10.118,10.240,11.264,12.288
1,forward,400,0,400,1,1,16,67108288,512,8192,512,8704,512,5.585,1466813.325,0.587,10.554,10.240,12.288,12.288
1,forward,448,0,448,1,1,16,67108288,512,8192,512,8704,512,5.682,1441701.179,0.646,10.326,10.240,11.264,12.288
1,forward,528,0,528,1,1,16,67108288,512,8192,512,8704,512,6.993,1171474.580,0.619,13.316,11.264,19.456,20.480
1,forward,832,0,832,1,1,16,67108288,512,8192,512,8704,512,7.254,1129305.489,0.940,13.388,10.240,27.648,29.696
1,forward,16,400,416,2,1,16,67108288,512,16384,1024,17408,1024,11.257,1455471.648,0.303,21.638,20.480,23.552,51.200
1,forward,16,448,464,2,1,16,67108288,512,16384,1024,17408,1024,10.851,1509861.296,0.350,20.398,20.480,22.528,22.528
1,forward,16,0,16,1,8,16,67108288,512,65536,4096,69632,4096,6.325,10361017.060,0.166,11.609,11.264,13.312,14.336
1,forward,80,0,80,1,8,16,67108288,512,65536,4096,69632,4096,6.019,10888057.061,0.871,11.216,11.264,13.312,13.312
1,forward,144,0,144,1,8,16,67108288,512,65536,4096,69632,4096,6.026,10875106.433,1.566,11.238,11.264,13.312,13.312
1,forward,272,0,272,1,8,16,67108288,512,65536,4096,69632,4096,6.169,10624170.394,2.890,11.459,11.264,13.312,14.336
1,forward,400,0,400,1,8,16,67108288,512,65536,4096,69632,4096,6.306,10392984.975,4.157,11.741,11.264,13.312,14.336
1,forward,448,0,448,1,8,16,67108288,512,65536,4096,69632,4096,6.291,10416666.298,4.667,11.649,11.264,13.312,14.336
1,forward,528,0,528,1,8,16,67108288,512,65536,4096,69632,4096,6.417,10212222.771,5.392,11.934,12.288,13.312,14.336
1,forward,832,0,832,1,8,16,67108288,512,65536,4096,69632,4096,6.578,9962640.067,8.289,12.282,12.288,14.336,15.360
1,forward,16,400,416,2,8,16,67108288,512,131072,8192,139264,8192,12.144,10793490.423,2.245,23.076,22.528,25.600,25.600
1,forward,16,448,464,2,8,16,67108288,512,131072,8192,139264,8192,12.182,10759919.080,2.496,23.076,22.528,24.576,25.600
1,forward,16,0,16,1,32,16,67108288,512,262144,16384,278528,16384,6.786,38629847.960,0.618,12.708,12.288,14.336,15.360
1,forward,80,0,80,1,32,16,67108288,512,262144,16384,278528,16384,7.143,36697247.531,2.936,13.390,13.312,15.360,16.384
1,forward,144,0,144,1,32,16,67108288,512,262144,16384,278528,16384,7.982,32841565.177,4.729,15.038,14.336,20.480,21.504
1,forward,272,0,272,1,32,16,67108288,512,262144,16384,278528,16384,9.597,27315408.614,7.430,18.148,14.336,30.720,37.888
1,forward,400,0,400,1,32,16,67108288,512,262144,16384,278528,16384,9.357,28014882.300,11.206,17.728,17.408,19.456,20.480
1,forward,448,0,448,1,32,16,67108288,512,262144,16384,278528,16384,10.393,25224159.487,11.300,19.754,19.456,21.504,22.528
1,forward,528,0,528,1,32,16,67108288,512,262144,16384,278528,16384,12.115,21638068.660,11.425,23.103,23.552,25.600,26.624
1,forward,832,0,832,1,32,16,67108288,512,262144,16384,278528,16384,18.780,13958559.852,11.614,36.126,37.888,44.032,47.104
1,forward,16,400,416,2,32,16,67108288,512,524288,32768,557056,32768,14.937,35099746.320,7.301,28.498,28.672,30.720,32.768
1,forward,16,448,464,2,32,16,67108288,512,524288,32768,557056,32768,14.960,35046889.590,8.131,28.564,28.672,30.720,32.768
1,forward,16,0,16,1,160,16,67108288,512,1310720,81920,1392640,81920,161.661,8107833.871,0.130,314.927,311.296,400.384,443.392
1,forward,80,0,80,1,160,16,67108288,512,1310720,81920,1392640,81920,171.231,7654678.338,0.612,333.560,329.728,416.768,454.656
1,forward,144,0,144,1,160,16,67108288,512,1310720,81920,1392640,81920,69.577,18838488.865,2.713,134.753,133.120,165.888,184.320
1,forward,272,0,272,1,160,16,67108288,512,1310720,81920,1392640,81920,56.243,23304506.810,6.339,106.936,106.496,130.048,142.336
1,forward,400,0,400,1,160,16,67108288,512,1310720,81920,1392640,81920,56.065,23378567.874,9.351,108.945,108.544,128.000,141.312
1,forward,448,0,448,1,160,16,67108288,512,1310720,81920,1392640,81920,58.055,22577344.663,10.115,112.804,111.616,132.096,147.456
1,forward,528,0,528,1,160,16,67108288,512,1310720,81920,1392640,81920,62.128,21097046.396,11.139,120.872,118.784,142.336,171.008
1,forward,832,0,832,1,160,16,67108288,512,1310720,81920,1392640,81920,93.874,13962519.358,11.617,182.871,181.248,196.608,230.400
1,forward,16,400,416,2,160,16,67108288,512,2621440,163840,2785280,163840,125.425,20900518.957,4.347,242.455,238.592,284.672,328.704
1,forward,16,448,464,2,160,16,67108288,512,2621440,163840,2785280,163840,116.841,22435869.958,5.205,224.535,221.184,262.144,335.872
2,reverse,832,0,832,1,160,16,67108288,512,1310720,81920,1392640,81920,95.842,13675798.623,11.378,186.711,182.272,214.016,305.152
2,reverse,528,0,528,1,160,16,67108288,512,1310720,81920,1392640,81920,61.015,21481916.114,11.342,118.684,117.760,134.144,145.408
2,reverse,448,0,448,1,160,16,67108288,512,1310720,81920,1392640,81920,58.034,22585312.538,10.118,112.874,111.616,135.168,148.480
2,reverse,400,0,400,1,160,16,67108288,512,1310720,81920,1392640,81920,57.427,22824129.093,9.130,111.566,110.592,129.024,146.432
2,reverse,272,0,272,1,160,16,67108288,512,1310720,81920,1392640,81920,56.776,23085940.802,6.279,108.541,107.520,133.120,145.408
2,reverse,144,0,144,1,160,16,67108288,512,1310720,81920,1392640,81920,71.292,18385258.190,2.647,138.179,137.216,164.864,186.368
2,reverse,80,0,80,1,160,16,67108288,512,1310720,81920,1392640,81920,157.748,8308936.336,0.665,307.248,307.200,390.144,415.744
2,reverse,16,0,16,1,160,16,67108288,512,1310720,81920,1392640,81920,160.768,8152865.970,0.130,313.003,320.512,403.456,434.176
2,reverse,16,448,464,2,160,16,67108288,512,2621440,163840,2785280,163840,113.268,23143752.741,5.369,218.188,215.040,253.952,289.792
2,reverse,16,400,416,2,160,16,67108288,512,2621440,163840,2785280,163840,124.065,21129609.042,4.395,239.756,235.520,285.696,329.728
2,reverse,832,0,832,1,32,16,67108288,512,262144,16384,278528,16384,20.361,12874673.362,10.712,39.202,37.888,60.416,67.584
2,reverse,528,0,528,1,32,16,67108288,512,262144,16384,278528,16384,12.117,21634412.243,11.423,23.108,23.552,25.600,26.624
2,reverse,448,0,448,1,32,16,67108288,512,262144,16384,278528,16384,10.390,25231617.321,11.304,19.746,19.456,21.504,22.528
2,reverse,400,0,400,1,32,16,67108288,512,262144,16384,278528,16384,9.370,27978141.193,11.191,17.742,17.408,19.456,20.480
2,reverse,272,0,272,1,32,16,67108288,512,262144,16384,278528,16384,7.585,34561901.732,9.401,14.251,14.336,16.384,17.408
2,reverse,144,0,144,1,32,16,67108288,512,262144,16384,278528,16384,7.272,36046183.862,5.191,13.632,13.312,15.360,16.384
2,reverse,80,0,80,1,32,16,67108288,512,262144,16384,278528,16384,7.175,36534893.487,2.923,13.424,13.312,15.360,16.384
2,reverse,16,0,16,1,32,16,67108288,512,262144,16384,278528,16384,6.844,38300418.119,0.613,12.806,12.288,14.336,15.360
2,reverse,16,448,464,2,32,16,67108288,512,524288,32768,557056,32768,14.952,35063690.161,8.135,28.529,28.672,30.720,32.768
2,reverse,16,400,416,2,32,16,67108288,512,524288,32768,557056,32768,14.930,35116597.617,7.304,28.507,28.672,30.720,32.768
2,reverse,832,0,832,1,8,16,67108288,512,65536,4096,69632,4096,6.653,9850700.508,8.196,12.419,12.288,14.336,15.360
2,reverse,528,0,528,1,8,16,67108288,512,65536,4096,69632,4096,6.475,10121777.716,5.344,12.060,12.288,13.312,14.336
2,reverse,448,0,448,1,8,16,67108288,512,65536,4096,69632,4096,6.400,10239999.847,4.588,11.908,12.288,13.312,14.336
2,reverse,400,0,400,1,8,16,67108288,512,65536,4096,69632,4096,6.437,10181355.552,4.073,11.976,12.288,13.312,14.336
2,reverse,272,0,272,1,8,16,67108288,512,65536,4096,69632,4096,7.230,9063871.996,2.465,13.350,12.288,19.456,21.504
2,reverse,144,0,144,1,8,16,67108288,512,65536,4096,69632,4096,7.107,9221901.718,1.328,13.309,12.288,20.480,20.480
2,reverse,80,0,80,1,8,16,67108288,512,65536,4096,69632,4096,6.179,10606563.083,0.849,11.470,11.264,13.312,13.312
2,reverse,16,0,16,1,8,16,67108288,512,65536,4096,69632,4096,8.965,7310108.252,0.117,16.957,11.264,41.984,45.056
2,reverse,16,448,464,2,8,16,67108288,512,131072,8192,139264,8192,13.065,10032134.130,2.327,24.686,23.552,27.648,51.200
2,reverse,16,400,416,2,8,16,67108288,512,131072,8192,139264,8192,12.951,10120977.194,2.105,24.537,23.552,27.648,50.176
2,reverse,832,0,832,1,1,16,67108288,512,8192,512,8704,512,6.062,1351351.372,1.124,11.514,11.264,13.312,27.648
2,reverse,528,0,528,1,1,16,67108288,512,8192,512,8704,512,5.966,1373154.794,0.725,10.910,10.240,12.288,24.576
2,reverse,448,0,448,1,1,16,67108288,512,8192,512,8704,512,5.890,1390820.578,0.623,11.170,11.264,12.288,13.312
2,reverse,400,0,400,1,1,16,67108288,512,8192,512,8704,512,5.816,1408450.718,0.563,10.616,10.240,11.264,12.288
2,reverse,272,0,272,1,1,16,67108288,512,8192,512,8704,512,5.807,1410685.919,0.384,11.016,11.264,11.264,12.288
2,reverse,144,0,144,1,1,16,67108288,512,8192,512,8704,512,5.815,1408698.673,0.203,10.612,10.240,11.264,12.288
2,reverse,80,0,80,1,1,16,67108288,512,8192,512,8704,512,5.575,1469507.712,0.118,10.556,10.240,11.264,12.288
2,reverse,16,0,16,1,1,16,67108288,512,8192,512,8704,512,5.460,1500375.069,0.024,9.934,9.216,11.264,12.288
2,reverse,16,448,464,2,1,16,67108288,512,16384,1024,17408,1024,11.217,1460653.635,0.339,21.602,21.504,23.552,23.552
2,reverse,16,400,416,2,1,16,67108288,512,16384,1024,17408,1024,11.239,1457725.980,0.303,21.198,20.480,22.528,23.552
3,forward,16,0,16,1,1,16,67108288,512,8192,512,8704,512,5.501,1489203.297,0.024,10.418,10.240,12.288,13.312
3,forward,80,0,80,1,1,16,67108288,512,8192,512,8704,512,5.676,1443261.755,0.115,10.322,10.240,11.264,12.288
3,forward,144,0,144,1,1,16,67108288,512,8192,512,8704,512,5.713,1433948.769,0.206,10.830,11.264,11.264,12.288
3,forward,272,0,272,1,1,16,67108288,512,8192,512,8704,512,5.847,1401050.746,0.381,10.664,10.240,12.288,12.288
3,forward,400,0,400,1,1,16,67108288,512,8192,512,8704,512,5.838,1403262.617,0.561,11.068,11.264,12.288,13.312
3,forward,448,0,448,1,1,16,67108288,512,8192,512,8704,512,5.828,1405728.394,0.630,10.612,10.240,11.264,12.288
3,forward,528,0,528,1,1,16,67108288,512,8192,512,8704,512,5.880,1393242.785,0.736,11.172,11.264,12.288,13.312
3,forward,832,0,832,1,1,16,67108288,512,8192,512,8704,512,5.930,1381453.959,1.149,10.830,10.240,12.288,13.312
3,forward,16,400,416,2,1,16,67108288,512,16384,1024,17408,1024,11.201,1462790.281,0.304,21.562,21.504,23.552,23.552
3,forward,16,448,464,2,1,16,67108288,512,16384,1024,17408,1024,11.272,1453488.372,0.337,21.270,21.504,22.528,23.552
3,forward,16,0,16,1,8,16,67108288,512,65536,4096,69632,4096,6.027,10873258.366,0.174,11.215,11.264,13.312,13.312
3,forward,80,0,80,1,8,16,67108288,512,65536,4096,69632,4096,6.230,10519394.744,0.842,11.502,11.264,13.312,14.336
3,forward,144,0,144,1,8,16,67108288,512,65536,4096,69632,4096,6.271,10450685.715,1.505,11.649,11.264,13.312,14.336
3,forward,272,0,272,1,8,16,67108288,512,65536,4096,69632,4096,6.387,10261343.221,2.791,11.918,12.288,13.312,14.336
3,forward,400,0,400,1,8,16,67108288,512,65536,4096,69632,4096,7.133,9187482.112,3.675,13.380,12.288,23.552,25.600
3,forward,448,0,448,1,8,16,67108288,512,65536,4096,69632,4096,8.971,7305102.251,3.273,16.654,12.288,40.960,46.080
3,forward,528,0,528,1,8,16,67108288,512,65536,4096,69632,4096,7.218,9079302.169,4.794,13.457,12.288,26.624,30.720
3,forward,832,0,832,1,8,16,67108288,512,65536,4096,69632,4096,8.294,7901234.363,6.574,15.686,12.288,45.056,57.344
3,forward,16,400,416,2,8,16,67108288,512,131072,8192,139264,8192,12.539,10453245.933,2.174,23.749,23.552,25.600,26.624
3,forward,16,448,464,2,8,16,67108288,512,131072,8192,139264,8192,12.630,10377817.147,2.408,23.944,23.552,25.600,27.648
3,forward,16,0,16,1,32,16,67108288,512,262144,16384,278528,16384,6.892,38038632.858,0.609,12.911,13.312,14.336,15.360
3,forward,80,0,80,1,32,16,67108288,512,262144,16384,278528,16384,7.228,36265760.193,2.901,13.548,13.312,15.360,16.384
3,forward,144,0,144,1,32,16,67108288,512,262144,16384,278528,16384,7.302,35899593.076,5.170,13.729,13.312,15.360,16.384
3,forward,272,0,272,1,32,16,67108288,512,262144,16384,278528,16384,7.583,34571236.550,9.403,14.247,14.336,16.384,17.408
3,forward,400,0,400,1,32,16,67108288,512,262144,16384,278528,16384,9.388,27923211.290,11.169,17.755,17.408,19.456,20.480
3,forward,448,0,448,1,32,16,67108288,512,262144,16384,278528,16384,10.400,25206774.239,11.293,19.738,19.456,21.504,22.528
3,forward,528,0,528,1,32,16,67108288,512,262144,16384,278528,16384,12.107,21652710.110,11.433,23.110,23.552,25.600,26.624
3,forward,832,0,832,1,32,16,67108288,512,262144,16384,278528,16384,18.646,14058982.450,11.697,35.866,35.840,41.984,44.032
3,forward,16,400,416,2,32,16,67108288,512,524288,32768,557056,32768,14.911,35160006.486,7.313,28.465,28.672,30.720,32.768
3,forward,16,448,464,2,32,16,67108288,512,524288,32768,557056,32768,15.137,34636719.555,8.036,28.907,28.672,31.744,33.792
3,forward,16,0,16,1,160,16,67108288,512,1310720,81920,1392640,81920,166.936,7851653.075,0.126,325.117,321.536,406.528,442.368
3,forward,80,0,80,1,160,16,67108288,512,1310720,81920,1392640,81920,164.284,7978359.063,0.638,319.988,317.440,385.024,419.840
3,forward,144,0,144,1,160,16,67108288,512,1310720,81920,1392640,81920,69.382,18891316.684,2.720,134.595,134.144,159.744,177.152
3,forward,272,0,272,1,160,16,67108288,512,1310720,81920,1392640,81920,56.985,23001311.318,6.256,108.742,108.544,133.120,146.432
3,forward,400,0,400,1,160,16,67108288,512,1310720,81920,1392640,81920,57.021,22986442.156,9.195,110.814,109.568,129.024,144.384
3,forward,448,0,448,1,160,16,67108288,512,1310720,81920,1392640,81920,58.575,22376839.904,10.025,113.938,112.640,133.120,144.384
3,forward,528,0,528,1,160,16,67108288,512,1310720,81920,1392640,81920,62.803,20870359.138,11.020,122.214,119.808,146.432,159.744
3,forward,832,0,832,1,160,16,67108288,512,1310720,81920,1392640,81920,94.196,13914858.869,11.577,183.488,181.248,204.800,227.328
3,forward,16,400,416,2,160,16,67108288,512,2621440,163840,2785280,163840,125.647,20863555.177,4.340,242.873,238.592,287.744,328.704
3,forward,16,448,464,2,160,16,67108288,512,2621440,163840,2785280,163840,118.380,22144371.554,5.137,227.547,223.232,273.408,340.992
